sample_id,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDBI,NDVI,NDWI
TJ04_069,2063,917,412,692,352,1076,3510,4236,4229,4593,0.6436066627502441,-0.34424665570259094,0.8463217616081238,-0.718756377696991
TJ04_070,2238,1014.5,382,618.5,398.5,1038,3013,3608,3378,3917,0.5380762815475464,-0.20299145579338074,0.7889580130577087,-0.6904791593551636
TJ04_071,1334,529.5,277.5,411.5,214,711,2236,2909.5,2871,3354.5,0.6885752081871033,-0.3655172288417816,0.861264169216156,-0.7492764592170715
TJ04_072,1305,496,193,354,180,688,2323,2937,2924,3309,0.7099415063858032,-0.3828328251838684,0.8840206265449524,-0.7840146422386169
TJ04_073,1262.5,511.5,468.5,600,376.5,823,2039.5,2660,2748,2951.5,0.6861481666564941,-0.3704026937484741,0.7590014338493347,-0.6415770649909973
TJ04_075,1797,811,356,585,316,855,2495,3173,3473,3517,0.6213818788528442,-0.3180265724658966,0.8332013487815857,-0.7116806507110596
TJ04_076,2038,911,265,536,305,965,2724,3469,3408,3732,0.5781430602073669,-0.251560777425766,0.8357123732566833,-0.7281947135925293
TJ04_077,1379.5,566,227,330,211.5,660,2051,2646.5,2678.5,2741,0.6511018872261047,-0.32010841369628906,0.8536332249641418,-0.7806215882301331
TJ04_079,1549.5,619,380,521.5,301,801,2533.5,3327.5,3342.5,3532.5,0.6874921321868896,-0.36651676893234253,0.8347742557525635,-0.7300724387168884
TJ04_082,1498.5,592,318,472,223.5,773,2721.5,3628.5,3337.5,3961,0.6986894011497498,-0.3802729547023773,0.8744734525680542,-0.7521984577178955
TJ04_084,3391.5,2486,2419,2444.5,2183,2849,4093,4418,4382,4564,0.27606290578842163,-0.1274200826883316,0.33495810627937317,-0.28382042050361633
TJ04_085,1553,986,847.5,914.5,756.5,1175,2179.5,2605,2643,2895,0.456599622964859,-0.2597711980342865,0.554934561252594,-0.4858749210834503
TJ04_087,899.5,386.5,218.5,332.5,237,524,1612.5,2150,2142,2406.5,0.6942851543426514,-0.4085155427455902,0.8007566332817078,-0.7312588691711426
TJ04_089,1237,463,258,332,199,687,2067,2611,2423,2973,0.6791406869888306,-0.32404372096061707,0.8482074737548828,-0.7589836716651917
TJ04_093,2135,1029,291,433,487,1143,2004,2382,1776,2288,0.2663101553916931,0.09179238229990005,0.5695978999137878,-0.6079673767089844
TJ04_096,2282,1002,337,484.5,300,865.5,3131.5,3946,3926,4379.5,0.5933441519737244,-0.26481959223747253,0.8580217957496643,-0.780297040939331
TJ04_098,2870,1194,642,942,556,1641,4684,5758,5552,6431,0.6460124254226685,-0.3184516727924347,0.8179436922073364,-0.7098860740661621
TJ04_100,1907,887,402,654,454,930,2656,2992,3940,3589,0.632483959197998,-0.34769967198371887,0.7933545708656311,-0.7152807712554932
RS03_001,1942.5,1139,749.5,1064.5,1154,1835.5,3108,3487,3360,3694,0.49366524815559387,-0.2673267424106598,0.48870182037353516,-0.5188156962394714
RS03_002,3265,2172.5,2302.5,2307,2196,2997.5,3815.5,4059.5,4248,4279,0.32326143980026245,-0.13083988428115845,0.31843575835227966,-0.2961098253726959
RS03_003,1461,875,528,671,598,932.5,1292.5,1417.5,1282,1442,0.1886879950761795,0.06525702029466629,0.3638297915458679,-0.31285202503204346
RS03_004,1574.5,770,440.5,573.5,412.5,954.5,2671.5,3341,3004,3827,0.5919448733329773,-0.31222015619277954,0.7585248351097107,-0.6793850660324097
RS03_005,3204,2123,645,972,891,1616,2782,3353,3264,3739,0.21180619299411774,-0.0092764375731349,0.5711191296577454,-0.5410764813423157
RS03_006,1231,588,384.5,518,364,761,2077.5,2644.5,2706,2914,0.6429872512817383,-0.3746507465839386,0.7628664374351501,-0.6786600351333618
RS03_007,1631,837,493.5,646.5,491.5,956.5,2469.5,3153,3092,3573,0.5739374160766602,-0.3093372881412506,0.7256872057914734,-0.6541393399238586
