timestamp,config_hash,input_files,random_seed,status,reason,stack,stack_label,model,split,fold,original_policy,sensitivity_policy,missing_sentinel,rows_with_missing_before_policy,sentinel_cells_before_policy,train_count_original,test_count_original,train_count_complete_case,test_count_complete_case,train_rows_dropped_missing,test_rows_dropped_missing,original_table3_oa,original_table3_macro_f1,complete_case_oa,complete_case_macro_f1,delta_oa_complete_minus_original,delta_macro_f1_complete_minus_original,sklearn_version,numpy_version,pandas_version
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B2.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,No sentinel/NaN feature rows in this stack; complete-case rerun is a no-missing reference.,B2,AlphaEarth 64-dim embedding,RandomForest,spatial,1,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,0,0,184,124,184,124,0,0,0.5887096774193549,0.536237737278851,0.5887096774193549,0.536237737278851,0.0,0.0,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B2.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,No sentinel/NaN feature rows in this stack; complete-case rerun is a no-missing reference.,B2,AlphaEarth 64-dim embedding,RandomForest,spatial,2,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,0,0,104,139,104,139,0,0,0.5755395683453237,0.5463952177577073,0.5755395683453237,0.5463952177577073,0.0,0.0,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B2.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,No sentinel/NaN feature rows in this stack; complete-case rerun is a no-missing reference.,B2,AlphaEarth 64-dim embedding,RandomForest,spatial,3,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,0,0,30,219,30,219,0,0,0.3698630136986301,0.2045239907141784,0.3698630136986301,0.20452399071417848,0.0,8.326672684688674e-17,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B2.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,No sentinel/NaN feature rows in this stack; complete-case rerun is a no-missing reference.,B2,AlphaEarth 64-dim embedding,RandomForest,spatial,4,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,0,0,88,140,88,140,0,0,0.4428571428571428,0.4194051921618789,0.44285714285714284,0.41940519216187894,5.551115123125783e-17,5.551115123125783e-17,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B3.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B3,AlphaEarth+S1/S2,RandomForest,random,1,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,466,156,457,151,9,5,0.7243589743589743,0.7159176888770157,0.7218543046357616,0.7129329798400277,-0.002504669723212727,-0.002984709036987998,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B3.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B3,AlphaEarth+S1/S2,RandomForest,random,2,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,466,156,455,153,11,3,0.7051282051282052,0.7008540325623072,0.7058823529411765,0.7020359913838173,0.0007541478129713397,0.0011819588215101762,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B3.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B3,AlphaEarth+S1/S2,RandomForest,random,3,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,467,155,456,152,11,3,0.7354838709677419,0.7228697276011854,0.743421052631579,0.7289504322263295,0.007937181663837056,0.0060807046251440955,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B3.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B3,AlphaEarth+S1/S2,RandomForest,random,4,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,467,155,456,152,11,3,0.7225806451612903,0.7207360071829815,0.7368421052631579,0.7328116675931716,0.014261460101867574,0.012075660410190148,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B3.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B3,AlphaEarth+S1/S2,RandomForest,spatial,1,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,184,124,184,113,0,11,0.5806451612903226,0.530994241769769,0.584070796460177,0.521520830554444,0.0034256351698543908,-0.009473411215324967,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B3.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B3,AlphaEarth+S1/S2,RandomForest,spatial,2,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,104,139,91,139,13,0,0.539568345323741,0.4959656084656085,0.5755395683453237,0.5409266409266409,0.03597122302158273,0.04496103246103239,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B3.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B3,AlphaEarth+S1/S2,RandomForest,spatial,3,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,30,219,30,216,0,3,0.3698630136986301,0.2079916851478836,0.375,0.21722240341259116,0.0051369863013698835,0.00923071826470756,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B3.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B3,AlphaEarth+S1/S2,RandomForest,spatial,4,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,88,140,88,140,0,0,0.4428571428571428,0.4094591463957943,0.44285714285714284,0.40945914639579434,5.551115123125783e-17,5.551115123125783e-17,1.9.0,2.4.6,3.0.3
