sample_id,longitude,latitude,map_url,second_reader_class_name,second_reader_confidence,imagery_source_used,imagery_date_visible,reviewer_initials,review_timestamp_utc,interpretation_notes
TJ02_005,100.6883611,5.6595925,"https://www.google.com/maps/search/?api=1&query=5.6595925,100.6883611",,,,,,,
TJ02_008,100.9502734,6.6796725,"https://www.google.com/maps/search/?api=1&query=6.6796725,100.9502734",,,,,,,
TJ02_011,100.8839252,6.6856284,"https://www.google.com/maps/search/?api=1&query=6.6856284,100.8839252",,,,,,,
TJ02_014,100.9929928,6.5757664,"https://www.google.com/maps/search/?api=1&query=6.5757664,100.9929928",,,,,,,
TJ02_016,100.6181337,5.612046,"https://www.google.com/maps/search/?api=1&query=5.612046,100.6181337",,,,,,,
TJ02_019,100.172908,6.481871,"https://www.google.com/maps/search/?api=1&query=6.481871,100.172908",,,,,,,
TJ02_022,100.3202702,6.5425395,"https://www.google.com/maps/search/?api=1&query=6.5425395,100.3202702",,,,,,,
TJ02_023,100.8938881,6.599732,"https://www.google.com/maps/search/?api=1&query=6.599732,100.8938881",,,,,,,
TJ02_027,100.0533934,6.5325633,"https://www.google.com/maps/search/?api=1&query=6.5325633,100.0533934",,,,,,,
TJ02_030,100.5808776,5.3307509,"https://www.google.com/maps/search/?api=1&query=5.3307509,100.5808776",,,,,,,
TJ02_033,100.6434195,5.8095255,"https://www.google.com/maps/search/?api=1&query=5.8095255,100.6434195",,,,,,,
TJ02_040,100.2478642,6.6831483,"https://www.google.com/maps/search/?api=1&query=6.6831483,100.2478642",,,,,,,
TJ02_043,100.5276169,5.6475568,"https://www.google.com/maps/search/?api=1&query=5.6475568,100.5276169",,,,,,,
TJ02_052,100.6748592,5.6505177,"https://www.google.com/maps/search/?api=1&query=5.6505177,100.6748592",,,,,,,
TJ02_057,100.7292599,6.5900722,"https://www.google.com/maps/search/?api=1&query=6.5900722,100.7292599",,,,,,,
TJ02_058,100.5348612,6.0234162,"https://www.google.com/maps/search/?api=1&query=6.0234162,100.5348612",,,,,,,
TJ02_092,100.5138475,5.4614029,"https://www.google.com/maps/search/?api=1&query=5.4614029,100.5138475",,,,,,,
TJ05_001,103.6377689,2.6290123,"https://www.google.com/maps/search/?api=1&query=2.6290123,103.6377689",,,,,,,
TJ05_002,103.6357283,2.604244,"https://www.google.com/maps/search/?api=1&query=2.604244,103.6357283",,,,,,,
TJ05_003,102.6490282,1.9479143,"https://www.google.com/maps/search/?api=1&query=1.9479143,102.6490282",,,,,,,
TJ05_004,103.5578957,2.636421,"https://www.google.com/maps/search/?api=1&query=2.636421,103.5578957",,,,,,,
TJ05_005,102.959739,2.4609246,"https://www.google.com/maps/search/?api=1&query=2.4609246,102.959739",,,,,,,
BCAJ_001,100.6423197,4.95399,"https://www.google.com/maps/search/?api=1&query=4.95399,100.6423197",,,,,,,
BCAJ_002,100.9868682,4.17954,"https://www.google.com/maps/search/?api=1&query=4.17954,100.9868682",,,,,,,
BCAJ_003,100.2934229,6.4861227,"https://www.google.com/maps/search/?api=1&query=6.4861227,100.2934229",,,,,,,
BCAJ_004,101.3628094,6.4678661,"https://www.google.com/maps/search/?api=1&query=6.4678661,101.3628094",,,,,,,
BCA_001,103.2141528,4.1303244,"https://www.google.com/maps/search/?api=1&query=4.1303244,103.2141528",,,,,,,
BCA_002,102.6856951,3.4891393,"https://www.google.com/maps/search/?api=1&query=3.4891393,102.6856951",,,,,,,
BCA_003,102.4365374,3.0138777,"https://www.google.com/maps/search/?api=1&query=3.0138777,102.4365374",,,,,,,
BCA_004,101.6237643,3.5134552,"https://www.google.com/maps/search/?api=1&query=3.5134552,101.6237643",,,,,,,
BCA_005,101.5763571,3.094911,"https://www.google.com/maps/search/?api=1&query=3.094911,101.5763571",,,,,,,
BCA_006,103.2327795,1.7986083,"https://www.google.com/maps/search/?api=1&query=1.7986083,103.2327795",,,,,,,
RS04_001,102.7448356,2.7931714,"https://www.google.com/maps/search/?api=1&query=2.7931714,102.7448356",,,,,,,
RS04_002,103.827214,1.5322551,"https://www.google.com/maps/search/?api=1&query=1.5322551,103.827214",,,,,,,
