sample_id,dw_entropy,dw_margin,dw_max_probability,dw_entropy_full_8class,dw_margin_full_8class,dw_max_probability_full_8class,dw_entropy_partial_5class,dw_margin_partial_5class,dw_max_probability_partial_5class,dw_water,dw_trees,dw_flooded_vegetation,dw_crops,dw_built,fdp_palm_probability_2023,fdp_rubber_probability_2023,screening_score,active_score
RS05_011,0.4867369939853677,0.700693,0.736638,0.4867369939853677,0.700693,0.736638,0.3830749421574457,0.7028530000000001,0.736638,0.033785,0.736638,0.031432,0.03019,0.030078,0.0,0.0,6.0,
RS05_012,0.4840761841766124,0.702117,0.737595,0.4840761841766124,0.702117,0.737595,0.3849960070233656,0.703292,0.737595,0.034303,0.737595,0.031889,0.029691,0.030773,0.0,0.0,6.0,
RS05_013,0.5109533538637968,0.674025,0.715865,0.5109533538637968,0.674025,0.715865,0.4153463703548513,0.674025,0.715865,0.033091,0.715865,0.028836,0.04184,0.03543,0.0,0.0,6.0,
RS05_014,0.4617595729874845,0.715301,0.752186,0.4617595729874845,0.715301,0.752186,0.37780002581851296,0.715301,0.752186,0.036885,0.752186,0.028713,0.031984,0.028027,0.0,0.0,6.0,
RS05_015,0.4738492973978354,0.704778,0.74186,0.4738492973978354,0.704778,0.74186,0.3744282455049562,0.7099449999999999,0.74186,0.031915,0.74186,0.030921,0.031529,0.027597,0.184314,0.098039,6.0,
RS05_016,0.4773290237493944,0.70742,0.742201,0.4773290237493944,0.70742,0.742201,0.3741880825934127,0.710855,0.742201,0.031346,0.742201,0.030729,0.030574,0.029191,0.0,0.0,6.0,
RS05_017,0.4724958896476152,0.703537,0.743844,0.4724958896476152,0.703537,0.743844,0.37865247174536565,0.703537,0.743844,0.030458,0.743844,0.027668,0.040307,0.026601,0.333333,0.0,6.0,
RS05_018,0.4846220626686655,0.703057,0.737566,0.4846220626686655,0.703057,0.737566,0.3840317386647988,0.703689,0.737566,0.033877,0.737566,0.031628,0.030177,0.030452,0.0,0.0,6.0,
RS05_019,0.4994236469441736,0.682053,0.72789,0.4994236469441736,0.682053,0.72789,0.4380584508468441,0.682053,0.72789,0.035869,0.72789,0.045837,0.042333,0.030631,0.121569,0.0,6.0,
RS05_020,0.4905008043723119,0.697863,0.733865,0.4905008043723119,0.697863,0.733865,0.386162436686126,0.697863,0.733865,0.036002,0.733865,0.032321,0.029269,0.029139,0.0,0.0,6.0,
