timestamp,config_hash,input_files,random_seed,status,reason,stack,model,split,fold,variable,morans_i,n_samples,distance_threshold_m
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,XGBoost,random,1,incorrect,0.0027487330810186407,156,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,XGBoost,random,2,incorrect,-0.005035013924727082,156,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,XGBoost,random,3,incorrect,0.0061830872641683255,155,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,XGBoost,random,4,incorrect,0.0017349517521160643,155,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,XGBoost,spatial,1,incorrect,0.002435253583369249,124,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,XGBoost,spatial,2,incorrect,-0.010655137467197852,139,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,XGBoost,spatial,3,incorrect,0.022605244728036735,219,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,XGBoost,spatial,4,incorrect,0.07477891559022841,140,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B3,RandomForest,random,1,incorrect,-0.009872488134868957,156,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B3,RandomForest,random,2,incorrect,0.006699600102828029,156,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B3,RandomForest,random,3,incorrect,0.006781400876394466,155,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B3,RandomForest,random,4,incorrect,0.00011764595402260273,155,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B3,RandomForest,spatial,1,incorrect,-0.006955961557188553,124,126783.51747145985
