timestamp,config_hash,input_files,random_seed,status,reason,stack,model,split,fold,variable,morans_i,n_samples,distance_threshold_m
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B2,RandomForest,random,1,incorrect,0.0016374633798580864,128,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B2,RandomForest,random,2,incorrect,0.004978370317875107,127,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B2,RandomForest,random,3,incorrect,-0.018444278367942532,127,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B2,RandomForest,random,4,incorrect,-0.002195902128474265,127,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B2,RandomForest,spatial,2,incorrect,-0.09999999999999999,15,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B2,RandomForest,spatial,3,incorrect,-0.004109611223190796,179,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B2,RandomForest,spatial,4,incorrect,0.3046831955922865,16,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B2,XGBoost,random,1,incorrect,-0.0036816315719772215,128,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B2,XGBoost,random,2,incorrect,-0.0031315957185580594,127,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B2,XGBoost,random,3,incorrect,-0.014858417049076495,127,158475.67167120945
